2025-12-31 15:45:08.715 +08:00 [INF] Loaded ABP modules:
2025-12-31 15:45:08.781 +08:00 [INF] - WeiDin.API.WeiDinApiModule
2025-12-31 15:45:08.783 +08:00 [INF]   - Volo.Abp.Autofac.AbpAutofacModule
2025-12-31 15:45:08.815 +08:00 [INF]     - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2025-12-31 15:45:08.816 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
2025-12-31 15:45:08.817 +08:00 [INF]       - Volo.Abp.Application.AbpDddApplicationContractsModule
2025-12-31 15:45:08.818 +08:00 [INF]     - Volo.Abp.UI.Navigation.AbpUiNavigationModule
2025-12-31 15:45:08.819 +08:00 [INF]       - Volo.Abp.UI.AbpUiModule
2025-12-31 15:45:08.820 +08:00 [INF]     - Volo.Abp.GlobalFeatures.AbpGlobalFeaturesModule
2025-12-31 15:45:08.820 +08:00 [INF]     - Volo.Abp.Application.AbpDddApplicationModule
2025-12-31 15:45:08.821 +08:00 [INF]       - Volo.Abp.Domain.AbpDddDomainModule
2025-12-31 15:45:08.822 +08:00 [INF]         - Volo.Abp.EventBus.AbpEventBusModule
2025-12-31 15:45:08.823 +08:00 [INF]           - Volo.Abp.Guids.AbpGuidsModule
2025-12-31 15:45:08.824 +08:00 [INF]           - Volo.Abp.BackgroundWorkers.AbpBackgroundWorkersModule
2025-12-31 15:45:08.825 +08:00 [INF]           - Volo.Abp.DistributedLocking.AbpDistributedLockingAbstractionsModule
2025-12-31 15:45:08.826 +08:00 [INF]         - Volo.Abp.ObjectMapping.AbpObjectMappingModule
2025-12-31 15:45:08.827 +08:00 [INF]         - Volo.Abp.Specifications.AbpSpecificationsModule
2025-12-31 15:45:08.828 +08:00 [INF]         - Volo.Abp.Caching.AbpCachingModule
2025-12-31 15:45:08.829 +08:00 [INF]           - Volo.Abp.Serialization.AbpSerializationModule
2025-12-31 15:45:08.830 +08:00 [INF]         - Volo.Abp.Domain.AbpDddDomainSharedModule
2025-12-31 15:45:08.830 +08:00 [INF]       - Volo.Abp.Features.AbpFeaturesModule
2025-12-31 15:45:08.831 +08:00 [INF]   - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2025-12-31 15:45:08.832 +08:00 [INF]   - Volo.Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule
2025-12-31 15:45:08.833 +08:00 [INF]   - WeiDin.Application.WeiDinApplicationModule
2025-12-31 15:45:08.834 +08:00 [INF]     - Volo.Abp.AutoMapper.AbpAutoMapperModule
2025-12-31 15:45:08.835 +08:00 [INF]     - WeiDin.Core.WeiDinCoreModule
2025-12-31 15:45:08.835 +08:00 [INF]   - WeiDin.Infrastructure.WeiDinInfrastructureModule
2025-12-31 15:45:08.836 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.SqlServer.AbpEntityFrameworkCoreSqlServerModule
2025-12-31 15:45:08.837 +08:00 [INF]       - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2025-12-31 15:45:09.333 +08:00 [INF] User profile is available. Using 'C:\Users\gh\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
